d2h = 0.5312572912968796	pd = 0.9473684210526315	pf = 0.24305555555555555
d2h = 0.505777767098711	pd = 1.0	pf = 0.2847222222222222
d2h = 0.539861563356306	pd = 0.8947368421052632	pf = 0.21180555555555555
d2h = 0.18571062996038323	pd = 0.2631578947368421	pf = 0.027777777777777776
d2h = 0.22189717806000137	pd = 0.3157894736842105	pf = 0.052083333333333336
d2h = 0.5429757520744637	pd = 0.8421052631578947	pf = 0.1701388888888889
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.5420566218595264	pd = 0.8947368421052632	pf = 0.20833333333333334
d2h = 0.12822448643550777	pd = 0.18181818181818182	pf = 0.028070175438596492
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.09634301659244116	pd = 0.13636363636363635	pf = 0.014035087719298246
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.06427764662892999	pd = 0.09090909090909091	pf = 0.0035087719298245615
d2h = 0.032122977412260445	pd = 0.045454545454545456	pf = 0.007017543859649123
d2h = 0.1601430776092071	pd = 0.22727272727272727	pf = 0.03508771929824561
d2h = 0.09581411080264712	pd = 0.13636363636363635	pf = 0.03859649122807018
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -4.352752261183035e-06	pd = 0.0	pf = 0.0035087719298245615
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.06420583054211748	pd = 0.09090909090909091	pf = 0.014035087719298246
d2h = 0.12822448643550777	pd = 0.18181818181818182	pf = 0.028070175438596492
d2h = 0.128564869306645	pd = 0.18181818181818182	pf = 0.0
d2h = 0.128564869306645	pd = 0.18181818181818182	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.12813410587267604	pd = 0.18181818181818182	pf = 0.031578947368421054
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.12847975481697238	pd = 0.18181818181818182	pf = 0.014035087719298246
d2h = 0.5494992257485185	pd = 0.9090909090909091	pf = 0.20350877192982456
d2h = 0.3467928897827249	pd = 0.5	pf = 0.09824561403508772
d2h = 0.5494992257485185	pd = 0.9090909090909091	pf = 0.20350877192982456
